"InstanceName","abcdSAT_drup","BeansAndEggs","CHBR_glucose","CHBR_glucose_tuned","cmsat5_autotune2","cmsat5_main2","COMiniSatPSChandrasekharDRUP","GHackCOMSPS_DRUP","glucose","glucose_hack_kiel_newScript","Glucose_nbSat","glue_alt","glueminisat.2210.81.main","gulch","Lingelingbbcmain","MapleCMS","MapleCOMSPS_CHB_DRUP","MapleCOMSPS_DRUP","MapleCOMSPS_LRB_DRUP","MapleGlucose","Riss6","Splatz06vmain","tb_glucose","tc_glucose","YALSAT03r"
"sat/ak032modbtmodbtisc.cnf",5000,5000,3100.17,3270.24,4017.49,3853.82,5000,5000,3555.53,4486.07,5000,2723.35,2278.54,5000,5000,5000,5000,5000,5000,5000,5000,291.53,4005.01,4353.16,5000
"sat/ak032modbtsimpbisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak064boothboothisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak064diagodiagoisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2351.06,5000,5000,5000,5000,5000,5000,2415.83,5000,5000,5000
"sat/ak064modasbg2asisc.cnf",839.13,5000,690.57,694.2,1242.64,1311.48,5000,0.8,5000,4.59,5000,1236.68,729.58,5000,2453.04,5000,5000,5000,5000,5000,8.01,917.55,9.49,10.85,43.98
"sat/ak064modbtmodbtisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak064paralbg2btaig.cnf",5000,5000,5000,5000,5000,5000,297.01,5000,5000,5000,5000,5000,5000,5000,2.53,5000,5000,5000,5000,5000,109.85,5000,5000,5000,5000
"sat/ak064paralparalisc.cnf",5000,5000,3361.4,3346.64,3495.26,3508.71,5000,5000,3304.24,4163.04,4432.75,2146.73849750879,3118.38,5000,256.54,5000,5000,4619.36,5000,5000,5000,1097.55,3227.44,3579.28,5000
"sat/ak064simpbbg2btaig.cnf",5000,2880.21,5000,5000,5000,5000,5000,5000,1643.68,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,251.86,1123.52,5000,5000,5000
"sat/ak128astepbg2msaig.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,107.88,5000,5000,5000,5000
"sat/ak128boothbg2btisc.cnf",5000,1.56,3806.45,3869.69,5000,5000,5000,5000,2126.15,5000,5000,2140.77,3965.55,5000,5000,5000,1754.91,4123.21,5000,5000,5000,5000,2270.32,2312.33,5000
"sat/ak128boothboothisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak128diagobg2asaig.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5.19,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak128modasbg2asisc.cnf",5000,5000,1406.98,1408.28,5000,5000,5000,5000,5000,5000,5000,5000,3366.42,5000,5000,5000,5000,5000,5000,5000,34.27,5000,5000,5000,94.01
"sat/ak128modbtbg2msisc.cnf",4630.84,5000,5000,5000,5000,5000,5000,5000,3784.23,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,107.55,5000,5000,5000,5000
"sat/ak128paralbg2msisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,35.34,5000,5000,5000,5000
"sat/ak128paralparalisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,3800.16,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak128simpbbg2msisc.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,1037.64,5000,5000,2587.47,5000,5000,5000,4401.36,5000,5000,5000,37.19,5000,5000,5000,5000
"sat/am_7_7.shuffled-as.sat03-363.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/am_9_9.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/AProVE07-25.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/AProVE11-06.cnf",1759.98,5000,5000,2027.6,2357.45,2543.77,2051.92,3251.86,2924.6,2653.82,5000,5000,2648.67,2805.42,1794.9,2415.6,1784.9,1820.45,1579.61,2445.9,5000,5000,2443.83,1985.03,5000
"sat/arcfour_initialPermutation_5_32.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/arcfour_initialPermutation_6_14.cnf",341.08,338.31,262.26,268.89,175.9,157.38,281.2,236.79,251.14,271.9,279.69,238.93,319.15,322.41,319.26,402.51,265.87,353.51,270.02,517.49,978.77,362.98,327.8,271.51,5000
"sat/barman-pfile06-022.sas.ex.7.cnf",1549.14479111433,1.22,1343.01549833828,1341.16959375278,29.84,29.7,1433.92639418841,1360.38560272869,1372.52286370862,1227.55411397391,1458.32895822188,1499.52411455772,1770.70398875619,1427.82259074289,6.1,29.87,1405.63328062323,1333.61184523138,1354.57191175785,1337.43494655374,884.88,26.57,1332.96167683346,1459.33712102011,5000
"sat/barman-pfile07-027.sas.cr.37.cnf",49.96,29.37,66.56,66.34,53.34,56.18,53.28,72.68,30.83,64.73,68.81,42.65,49.08,70.35,62.96,109.48,50.23,85.34,66.73,164.51,1027.76,92.32,53.05,54.43,5000
"sat/barman-pfile08-030.sas.cr.27.cnf",19.45,7.18,9.18,9.12,9.54,9.84,35.72,36.1,11.31,12.15,16.14,9.88,10.04,13.92,44.25,30.36,35.17,41.2,35.73,24.7,299.51,40.1,9.45,9.67,5000
"sat/barman-pfile09-036.sas.cr.33.cnf",30.92,18.3,23.92,23.86,27.92,28.93,72.2845914317516,92.18,27.63,40.93,37.15,34.93,40.62,30.8,69.19,73.11,86.2655508764727,91.21,82.51,69.94,635.06,81.72,29.65,30.07,5000
"sat/barman-pfile10-038.sas.cr.25.cnf",11.09,7.39,10.15,10.18,13.64,13.75,49.96,56.36,8.77,13.05,18.18,9.95,12.38,10.67,41.98,26.77,50.44,51.47,51.89,20.4,319.89,39.22,11.89,12.5,5000
"sat/barman-pfile10-040.sas.cr.17.cnf",4.43,3.44,3.39,3.45,6.81,6.81,25.03,34.17,3.72,3.27,8.53,3.9,4.85,3.5,14.41,8.91,25.57,25.93,26,8.48,217.15,21.86,3.37,3.61,5000
"sat/barman-pfile10-040.sas.cr.21.cnf",14.28,5,4.96,4.99,9.46,9.53,34.12,39.07,10.75,6.06,12.51,7.02,8.45,6.53,13.16,13.59,34.71,34.52,35.06,14.32,287.47,38.85,5.41,5.98,5000
"sat/C168_FW_UT_518.cnf",0.01,0,0.01,0.01,0.02,0.02,0,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0,0,0,0.01,0.23,0,0.01,0.04,0
"sat/countbitsarray04_32.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/countbitssrl128.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ctl_3791_556_unsat.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ctl_4291_567_8_unsat.cnf",749.56,3972.37,4465.16,4450.2,3929.03,3727.94,5000,3948.48,3889.52,3502.45,3860.56,5000,2557.22,3920.43,5000,3094.19,5000,2185.94,5000,1894.31187881031,5000,5000,5000,5000,5000
"sat/cube-11-h13-unsat.cnf",1685.86,438.713887296782,95.16,95.35,406.72,411.12,214.13,86.78,121.83,127.5,151.26,174.38,197.86,285.02,1743.97,791.58,126.61,404.91,252.25,502.18,1846.66,393.24,347.25,341.63,5000
"sat/custmulsb2x32o.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/custmulun16x16o.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/dated-10-19-u.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/div2.c.20.smt2-stp212.cnf",5000,4.41,3.81,3.75,29.27,31.18,5.24,3.14,3.01,3.99,5.04,2.62,3.87,7.5,18.07,31.68,3.75,3.54,4.21,6.34,41.3,9.03,2.63,3.05,5000
"sat/E00N23.cnf",2838.61,2245.97,2804.66,2901.56,4362.28,4251.68,2703.05,3993.84,5000,2897.11,3167.53,5000,3793.34,5000,3483.14,4492.76,5000,2435.7,2857.34,2334.13,5000,5000,2448.64,2874.95,5000
"sat/E02F22.cnf",483.3,197.16,295.18,312.97,161.69,163.49,233.77,326.83,266.37,274.93,274.66,465.45,127.98,509.5,669.68,194.71,182.9,179.82,254.23,2537.84,789.67,1466.49,312.96,408.65,5000
"sat/e2_1.c.smt2-stp212.cnf",9.2,0.23,0.19,0.18,0.66,0.64,0.38,0.17,0.21,0.18,0.23,0.22,0.39,0.29,0.66,0.51,0.39,0.38,0.37,0.36,8.08,0.06,0.18,0.24,5000
"sat/e2_2.c.smt2-cvc4.cnf",0.12,0.03,0.06,0.06,0.13,0.13,0.05,0.05,0.05,0.06,0.07,0.08,0.06,0.1,0.3,0.14,0.05,0.05,0.05,0.06,1.62,0.72,0.06,0.09,5000
"sat/e2a_2.c.smt2-cvc4.cnf",0.1,0.02,0.05,0.05,0.12,0.12,0.04,0.04,0.05,0.05,0.06,0.06,0.05,0.06,0.25,0.12,0.05,0.04,0.04,0.05,2.04,0.02,0.05,0.06,5000
