InstanceName,blind,Complementary1,Complementary2,DecStar,Delfi1,Delfi2,FDMS1,FDMS2,Metis1,Metis2,Planning-PDBs,Scorpion,symbolic-bidirectional,Symple-1,Symple-2
organic-synthesis-split_p20.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
petri-net-alignment_p01.pddl,8.1,26.12,1800,3.52,12.46,4.73,479.07,984.73,1800,1800,13.48,1800,1800,697.32,711.67
petri-net-alignment_p02.pddl,9.31,109.42,1800,4.03,13.97,13.45,415.48,919.5,1800,1800,25.62,1800,7.57,1327.81,1287.08
petri-net-alignment_p03.pddl,133.62,180.51,1800,15.89,18.6,14.8,1800,1800,13.43,1800,77.91,1800,15.07,1800,1800
petri-net-alignment_p04.pddl,1800,1800,1800,43.03,19.88,48.79,1800,1800,47.22,1800,98.27,1800,1800,1800,1800
petri-net-alignment_p05.pddl,1800,44.72,1800,43.3,46.18,41.48,1800,1800,42.41,1800,92.64,1800,40.02,1800,1800
petri-net-alignment_p06.pddl,1800,45.84,1800,48.43,1800,45.71,1800,1800,1800,66.46,79.27,1800,30.5,1800,1800
petri-net-alignment_p07.pddl,1800,89.12,1800,1800,48.01,41.1,1800,1800,39.19,49.62,97.69,1800,30.89,1800,1800
petri-net-alignment_p08.pddl,1800,1800,1800,1800,141.14,1800,1800,1800,677.07,878.66,1800,1800,337.87,1800,1800
petri-net-alignment_p09.pddl,1800,38.86,1800,1800,23.55,1800,1800,1800,1800,1800,1800,1800,35.3,1800,1800
petri-net-alignment_p10.pddl,1800,1209.18,1800,1800,4.19,1800,1800,1800,1800,1800,1800,1800,466.73,1800,1800
petri-net-alignment_p11.pddl,1800,1800,1800,1800,59.02,1800,1800,1800,1800,1800,222.36,1800,1800,1800,1800
petri-net-alignment_p12.pddl,1800,140.36,1800,226.84,74.82,186.68,1800,1800,1800,273.61,1800,1800,1800,1800,1800
petri-net-alignment_p13.pddl,1800,1800,1800,1800,212.95,1800,1800,1800,1800,1800,230.77,1800,287.73,1800,1800
petri-net-alignment_p14.pddl,1800,1800,1800,1800,60.99,1800,1800,1800,1800,1800,1800,1800,266.31,1800,1800
petri-net-alignment_p15.pddl,1800,148.45,1800,1800,84.38,1800,1800,1800,1800,1800,1800,1800,93.93,1800,1800
petri-net-alignment_p16.pddl,1800,189.33,1800,1800,4.54,1800,1800,1800,1800,1800,1800,1800,132.99,1800,1800
petri-net-alignment_p17.pddl,1800,72.35,1800,1800,4.73,1800,1800,1800,1800,1800,1800,1800,91.24,1800,1800
petri-net-alignment_p18.pddl,1800,106.86,1800,1800,162.58,1800,1800,1800,1800,1800,102.9,1800,101.19,1800,1800
petri-net-alignment_p19.pddl,1800,1800,1800,1800,70.57,1800,1800,1800,1800,1800,61.86,1800,1800,1800,1800
